Valid. perplexity,Dropout 0.0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
Epoch 1,168.37,363.61,208.92,200.33,266.1
Epoch 2,111.63,352.91,126.91,129.84,178.06
Epoch 3,93.72,326.07,101.05,108.04,150.39
Epoch 4,83.07,305.95,90.87,99.09,143.5
Epoch 5,77.55,323.16,84.61,96.32,137.03
Epoch 6,77.2,294.99,81.19,92.32,138.07
Epoch 7,80.79,289.67,78.76,90.13,130.9
Epoch 8,78.32,277.1,75.55,90.49,129.46
Epoch 9,77.86,278.55,74.96,84.47,128.24
Epoch 10,77.04,272.01,72.82,83.08,127.75
Epoch 11,77.12,267.91,72.81,82.75,126.82
Epoch 12,76.91,261.71,72.23,82.71,125.16
Epoch 13,76.87,261.09,71.84,82.32,125.57
Epoch 14,76.88,259.22,71.74,81.65,123.85
Epoch 15,76.86,259.49,72.56,81.48,123.64
Epoch 16,76.86,255.32,68.89,81.72,123.54
Epoch 17,76.85,253.63,68.51,80.8,123.17
Epoch 18,76.86,253.15,68.33,80.52,123.33
Epoch 19,76.85,253.45,68.26,80.53,122.78
Epoch 20,76.85,251.62,68.12,80.33,122.7
Epoch 21,76.85,250.79,68.05,80.22,122.56
Epoch 22,76.85,250.63,67.99,80.2,122.41
Epoch 23,76.85,250.51,67.96,80.29,122.37
Epoch 24,76.85,249.86,67.8,80.23,122.35
Epoch 25,76.85,250.04,67.93,80.22,122.43
Epoch 26,76.85,249.61,67.57,80.21,122.38
Epoch 27,76.85,249.46,67.45,80.21,122.38
Epoch 28,76.85,249.29,67.45,80.21,122.37
Epoch 29,76.85,249.15,67.41,80.21,122.37
Epoch 30,76.85,249.07,67.45,80.21,122.37
