Valid. perplexity,Dropout 0.0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
Epoch 1,179.68,405.89,199.3,209.11,266.91
Epoch 2,112.32,358.93,129.46,126.75,172.61
Epoch 3,95.47,388.35,103.29,107.52,147.81
Epoch 4,82.2,327.1,90.45,97.82,139.89
Epoch 5,77.72,307.09,83.98,93.15,134.71
Epoch 6,77.93,285.85,79.98,93.14,135.24
Epoch 7,74.11,272.74,77.3,89.27,128.48
Epoch 8,75.96,267.27,75.95,88.08,127.63
Epoch 9,76.03,259.42,74.35,87.54,127.49
Epoch 10,75.56,245.65,72.59,87.91,127.25
Epoch 11,75.33,237.59,72.33,83.19,126.17
Epoch 12,75.28,236.27,71.16,82.89,125.88
Epoch 13,75.27,226.01,71.46,82.23,124.98
Epoch 14,75.27,231.16,68.01,82.21,124.76
Epoch 15,75.27,225.31,67.71,81.84,124.48
Epoch 16,75.27,219.65,67.57,82.14,123.15
Epoch 17,75.27,219.98,67.42,81.01,122.49
Epoch 18,75.27,217.13,67.17,80.82,122.07
Epoch 19,75.27,215.49,67.36,80.79,122.44
Epoch 20,75.27,214.04,66.76,80.45,120.84
Epoch 21,75.27,213.21,66.68,80.47,121.18
Epoch 22,75.27,213.24,66.58,80.19,120.7
Epoch 23,75.27,212.34,66.55,80.08,120.73
Epoch 24,75.27,211.67,66.42,80.18,120.65
Epoch 25,75.27,211.71,66.51,80.14,120.64
Epoch 26,75.27,211.54,66.26,80.12,120.61
Epoch 27,75.27,211.22,66.21,80.12,120.58
Epoch 28,75.27,211.21,66.18,80.12,120.55
Epoch 29,75.27,211.28,66.2,80.12,120.5
Epoch 30,75.27,211.29,66.17,80.12,120.49
